Time,Potential,J_0,J_1,J_2
2.07,-9.3,-1.2083520889282227,-1.1871880991384387,-1.1966673964634538
2.08,-9.2,-1.2056859470903873,-1.1847676327452064,-1.1939571611583233
2.09,-9.100000000000001,-1.2030806643888354,-1.1823733262717724,-1.1911833053454757
2.1,-9.0,-1.2004641015082598,-1.1799866575747728,-1.1888504503294826
2.11,-8.900000000000002,-1.1978886937722564,-1.1775693548843265,-1.1861865827813745
2.12,-8.799999999999999,-1.1952977310866117,-1.1752608567476273,-1.1835483135655522
2.13,-8.700000000000001,-1.1927713500335813,-1.1729078562930226,-1.1807567523792386
2.14,-8.599999999999998,-1.1902327593415976,-1.1705890223383904,-1.1783270128071308
2.15,-8.5,-1.187741887755692,-1.1682921200990677,-1.1759553123265505
2.16,-8.399999999999999,-1.1852164883166552,-1.1660272972658277,-1.1733743892982602
2.17,-8.3,-1.1827614242210984,-1.1637429632246494,-1.170915087684989
2.18,-8.2,-1.1802978944033384,-1.1614854326471686,-1.1681289533153176
2.19,-8.100000000000001,-1.1779071344062686,-1.1592272203415632,-1.1657782001420856
2.2,-7.999999999999998,-1.1754619032144547,-1.1569917052984238,-1.163276020437479
2.21,-7.9,-1.1730310702696443,-1.1547080893069506,-1.161052937619388
2.22,-7.799999999999998,-1.1706352969631553,-1.1524664163589478,-1.1583164343610406
2.23,-7.7,-1.1681902641430497,-1.1501996973529458,-1.1558330114930868
2.24,-7.599999999999998,-1.1658073412254453,-1.1479680193588138,-1.1535179866477847
2.25,-7.5,-1.1634108619764447,-1.145694650709629,-1.1510712336748838
2.2600000000000002,-7.399999999999998,-1.1610351977869868,-1.1434128219261765,-1.1486347606405616
2.27,-7.3,-1.1586556630209088,-1.141183067113161,-1.146192790940404
2.2800000000000002,-7.1999999999999975,-1.1562138814479113,-1.1389208352193236,-1.1435049222782254
2.29,-7.1,-1.1537597514688969,-1.136581459082663,-1.14122992195189
2.3000000000000003,-6.999999999999997,-1.1513366140425205,-1.1343030789867043,-1.138596992008388
2.31,-6.8999999999999995,-1.148920752108097,-1.131983988918364,-1.1362956371158361
2.32,-6.800000000000002,-1.1464632144197822,-1.1296166311949492,-1.1335051925852895
2.33,-6.699999999999999,-1.143961668945849,-1.1272049751132727,-1.1309905219823122
2.34,-6.600000000000001,-1.1414747731760144,-1.1248428849503398,-1.1285822056233883
2.35,-6.499999999999999,-1.138970228843391,-1.122383194975555,-1.1261031925678253
2.36,-6.400000000000001,-1.1364121548831463,-1.1198859876021743,-1.1234612818807364
2.37,-6.299999999999999,-1.1338057657703757,-1.1173676308244467,-1.1209891326725483
2.38,-6.200000000000001,-1.1311733135953546,-1.1147683104500175,-1.1178716626018286
2.39,-6.099999999999999,-1.1285131694748998,-1.1122234556823969,-1.1151070035994053
2.4,-6.000000000000001,-1.12575145624578,-1.1094673657789826,-1.1127402987331152
2.41,-5.899999999999999,-1.1229190528392792,-1.1067055836319923,-1.1097025740891695
2.42,-5.800000000000001,-1.1200468754395843,-1.1038831807672977,-1.1067653438076377
2.43,-5.699999999999998,-1.1171025102958083,-1.1009716233238578,-1.1037106988951564
2.44,-5.6000000000000005,-1.1141006303951144,-1.097911705262959,-1.1004316518083215
2.45,-5.499999999999998,-1.110932456329465,-1.0948126930743456,-1.0977403577417135
2.46,-5.4,-1.1077007483690977,-1.0916145499795675,-1.094241552054882
2.47,-5.299999999999998,-1.104291321709752,-1.0882350513711572,-1.0908440994098783
2.48,-5.2,-1.100791109725833,-1.084743364714086,-1.0873696226626635
2.49,-5.099999999999998,-1.0971340807154775,-1.0810984261333942,-1.0834887372329831
2.5,-5.0,-1.0933093763887882,-1.0772038670256734,-1.079944672062993
2.5100000000000002,-4.899999999999998,-1.0893191685900092,-1.0732053648680449,-1.0756879094988108
2.52,-4.8,-1.085106453858316,-1.0690084034577012,-1.0714753726497293
2.5300000000000002,-4.6999999999999975,-1.080589591525495,-1.064508161507547,-1.0670711267739534
2.54,-4.6,-1.0758110834285617,-1.0596929816529155,-1.0619417680427432
2.5500000000000003,-4.499999999999997,-1.0708486177027225,-1.0545896850526333,-1.0574113270267844
2.56,-4.3999999999999995,-1.06545324716717,-1.0491841519251466,-1.0518176639452577
2.57,-4.300000000000002,-1.0597820626571774,-1.0434654988348484,-1.0463388925418258
2.58,-4.199999999999999,-1.0536649441346526,-1.0372163783758879,-1.040327132679522
2.59,-4.100000000000001,-1.0470358273014426,-1.0306122982874513,-1.0339346369728446
2.6,-3.999999999999999,-1.040001536719501,-1.0234205983579159,-1.0268211215734482
2.61,-3.9000000000000012,-1.032328037545085,-1.015617691911757,-1.0194058138877153
2.62,-3.799999999999999,-1.0240722335875034,-1.0072275632992387,-1.0113526629284024
2.63,-3.700000000000001,-1.0151298409327865,-0.9981239549815655,-1.0021591521799564
2.64,-3.5999999999999988,-1.0053590657189488,-0.988160447217524,-0.9930562963709235
2.65,-3.500000000000001,-0.9947905521839857,-0.9773644208908081,-0.982712016440928
2.66,-3.3999999999999986,-0.9832171853631735,-0.9656202145852149,-0.9712468842044473
2.67,-3.3000000000000007,-0.9707214646041393,-0.9527652845717967,-0.95909558609128
2.68,-3.1999999999999984,-0.9569474360905588,-0.9387367549352348,-0.9456012155860662
2.69,-3.1000000000000005,-0.9420632482506335,-0.9234752836637199,-0.9312758943997324
2.7,-2.9999999999999982,-0.925702107604593,-0.9066975554451346,-0.9152552913874388
2.71,-2.9000000000000004,-0.9077984243631363,-0.8885538927279413,-0.8977649435400963
